Plasmid,DNA stock to add to reaction (nL) echo
pEPSW1KN0115,248.7427858
pEPSW1KN0116,248.3125751
pEPSW1KN0117,299.5691407
pEPSW1KN0118,259.400481
pEPSW1KN0119,257.4072996
pEPSW1KN0120,223.964506
pEPSW1KN0121,295.7345211
pEPSW1KN0122,244.7149972
pEPSW1KN0123,205.8659218
pEPSW1KN0124,227.7972388
pEPSW1KN0125,237.7675019
pEPSW1KN0126,241.6261406
pEPSW1KN0127,203.7168419
pEPSW1KN0128,263.5499982
pEPSW1KN0129,260.9834982
pEPSW1KN0130,256.2260259
pEPSW1KN0131,287.5274718
pEPSW1KN0132,536
pEPSW1KN0133,160.4626686
pEPSW1KN0134,216.4633549
pEPSW1KN0135,149.6853252
pEPSW1KN0136,241.6842473
pEPSW1KN0137,260.6112755
pEPSW1KN0138,175.9047839
pEPSW1KN0139,213.3812082
pEPSW1KN0140,215.7894223
pEPSW1KN0141,139.2905109
pEPSW1KN0142,327.2210629
pEPSW1KN0143,224.740801
pEPSW1KN0144,217.5881276
pEPSW1KN0145,243.2048927
pEPSW1KN0146,200.106796
pEPSW1KN0147,309.8200773
pEPSW1KN0148,248.8967939
pEPSW1KN0149,191.8737851
pEPSW1KN0150,404.9450549
pEPSW1KN0151,215.2809558
pEPSW1KN0152,209.3611219
pEPSW1KN0153,461.5770026
pEPSW1KN0154,230.0656587
pEPSW1KN0155,241.6842473
pEPSW1KN0156,238.9831058
pEPSW1KN0157,242.6470588
pEPSW1KN0158,513.0644637
pEPSW1KN0159,258.9993792
pEPSW1KN0160,271.5248867
pEPSW1KN0161,206.670281
pEPSW1KN0162,254.3133195
pEPSW1KN0163,253.4155511
pEPSW1KN0164,237.2343051
pEPSW1KN0165,259.2666424
pEPSW1KN0166,372.8687792
pEPSW1KN0167,585.2147905
pEPSW1KN0168,295.2566636
pEPSW1KN0169,292.081693
pEPSW1KN0170,186.2208372
pEPSW1KN0171,143.2702398
pEPSW1KN0172,243.2637613
pEPSW1KN0173,427.6016787
pEPSW1KN0174,179.1981067
pEPSW1KN0175,267.7274048
pEPSW1KN0176,536
pEPSW1KN0177,258.6327906
pEPSW1KN0178,175.9459085
pEPSW1KN0179,225.4971953
pEPSW1KN0180,229.9866855
pEPSW1KN0181,242.9990768
pEPSW1KN0182,526.0903705
pEPSW1KN0183,309.96341
pEPSW1KN0184,250.4786396
pEPSW1KN0185,536
pEPSW1KN0186,536
pEPSW1KN0187,205.5291143
pEPSW1KN0189,271.4882122
pEPSW1KN0188,396.869559
pEPSW1KN0190,324.5790455
pEPSW1KN0191,255.444515
pEPSW1KN0192,327.7546361
pEPSW1KN0193,217.8475363
pEPSW1KN0194,284.9998066
pEPSW1KN0195,324.0557534
pEPSW1KN0196,194.1721994
pEPSW1KN0197,297.3532734
pEPSW1KN0198,323.5862311
pEPSW1KN0199,438.038633
pEPSW1KN0200,291.6155581
pEPSW1KN0201,155.487082
pEPSW1KN0202,289.7658021
pEPSW1KN0203,243.4110575
pEPSW1KN0204,380.8523099
pEPSW1KN0205,367.0806216
pEPSW1KN0206,309.7723292
pEPSW1KN0207,282.7148812
pEPSW1KN0208,259.1997749
pEPSW1KN0209,298.5014176
pEPSW1KN0210,296.2139278
pEPSW1KN0211,384.2744669
pEPSW1KN0212,307.9215643
pEPSW1KN0213,491.9674247
pEPSW1KN0214,282.6353735
pEPSW1KN0215,320.7974232
pEPSW1KN0216,327.5943816
pEPSW1KN0217,278.022282
pEPSW1KN0218,326.7954535
pEPSW1KN0219,231.9238878
pEPSW1KN0220,235.5385107
pEPSW1KN0221,131.0969515
pEPSW1KN0222,180.7012034
pEPSW1KN0223,536
pEPSW1KN0224,171.434475
pEPSW1KN0225,202.6043795
pEPSW1KN0226,189.224845
pEPSW1KN0227,187.4563885
pEPSW1KN0228,175.9459085
pEPSW1KN0229,191.0269864
pEPSW1KN0230,189.224845
pEPSW1KN0231,157.9356974
pEPSW1KN0232,187.4563885
pEPSW1KN0233,536
pEPSW1KN0234,230.5498112
pEPSW1KN0235,184.0168218
pEPSW1KN0236,196.6454272